12 12
135 150 117 187 240 129 119 201 84 103 152 82 
100 73 38 179 184 177 38 103 104 160 96 193 
63 201 133 63 157 158 126 111 94 189 159 160 
63 160 141 176 112 187 141 162 150 147 161 120 
32 106 105 134 96 90 51 129 184 95 95 170 
54 130 81 175 87 63 179 70 153 144 133 63 
120 190 95 70 93 154 118 102 127 213 155 48 
153 96 176 65 117 83 136 158 112 76 143 143 
140 143 137 104 106 104 164 63 163 134 130 160 
123 138 136 160 167 142 133 123 125 142 157 116 
102 81 127 96 151 93 153 216 84 234 91 186 
197 117 182 127 173 110 97 89 138 126 129 142 
